No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
3687,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=246665 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000357,1514,0
3688,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=248125 Win=45260 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,2.90E-05,54,0
3689,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=248125 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.0016,1514,0
3690,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=249585 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000507,1514,0
3691,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=251045 Win=42340 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.70E-05,54,0
3692,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=251045 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001167,1514,0
3693,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=252505 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000629,1514,0
3694,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=253965 Win=39420 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.70E-05,54,0
3695,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=253965 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001021,1514,0
3696,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=255425 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000498,1514,0
